Country;Region;Year;URL;Title;Note;Class;Rating;Maturity
France;France - Rhone: Chateauneuf du Pape;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=France&region[]=Rh%C3%B4ne&location[]=Southern%20Rh%C3%B4ne&locale[]=Chateauneuf%20du%20Pape;"1985 Southern Rhone
Chateauneuf du Pape";88R;Above-average;88;Ready to drink
Italy;Italy - Piedmont: Barolo;1978;https://www.robertparker.com//search/wines?vintage=1978&country[]=Italy&region[]=Piedmont&location[]=Barolo;1978 Italy:  Piedmont (Barolo);97T;Extraordinary;97;Still tannic, youthful, or slow to mature
USA;USA - North Coast;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Zinfandel;1999 Calif N Coast Zinfandel;87R;Above-average;87;Ready to drink
France;France - Bordeaux: St Julien / Pauillac / St Estephe;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Bordeaux&location[]=Saint-Julien&location[]=Pauillac&location[]=Saint-Estephe;2008 St. Julien / Pauillac / St. Estephe;91E;Outstanding;91;Early maturing and accessible
France;France - Bordeaux: Barsac / Sauternes;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;2012 Barsac / Sauternes;88E;Above-average;88;Early maturing and accessible
France;France - Bordeaux: Barsac / Sauternes;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1998 Barsac / Sauternes;87E;Above-average;87;Early maturing and accessible
Italy;Italy - Piedmont: Barbaresco;1994;https://www.robertparker.com//search/wines?vintage=1994&country[]=Italy&region[]=Piedmont&location[]=Barbaresco;1994 Italy:  Piedmont (Barbaresco);77C;Average;77;Caution, may be too old
USA;USA - North Coast;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Cabernet%20Sauvignon;2007 Calif N Coast Cabernet Sauvignon;96E;Extraordinary;96;Early maturing and accessible
USA;USA - Central Coast: Santa Barbara;2001;https://www.robertparker.com//search/wines?vintage=2001&country[]=USA&region[]=California&location[]=Central%20Coast&locale[]=Santa%20Barbara%20County;"2001 California
Central Coast: Santa Barbara";89R;Above-average;89;Ready to drink
France;France - Bordeaux: St Julien / Pauillac / St Estephe;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=France&region[]=Bordeaux&location[]=Saint-Julien&location[]=Pauillac&location[]=Saint-Estephe;1985 St. Julien / Pauillac / St. Estephe;90R;Outstanding;90;Ready to drink
France;France - Bordeaux: St Emilion;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=France&region[]=Bordeaux&location[]=Saint-%C3%89milion;1985 St. Emilion;87R;Above-average;87;Ready to drink
France;France - Bordeaux: Barsac / Sauternes;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;2015 Barsac / Sauternes;94E;Outstanding;94;Early maturing and accessible
France;France - Bordeaux: Pomerol;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=France&region[]=Bordeaux&location[]=Pomerol;1999 Pomerol;88R;Above-average;88;Ready to drink
France;France - Burgundy: Cote de Beaune;1996;https://www.robertparker.com//search/wines?vintage=1996&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Beaune&color_class[]=Red;1996 Cote de Beaune (red);89R;Above-average;89;Ready to drink
Italy;Italy - Friuli Venezia Giulia: Collio;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=Italy&region[]=Friuli%20Venezia%20Giulia&location[]=Collio&color_class[]=White;1998 Italy: Friuli (Collio);85C;Above-average;85;Caution, may be too old
Portugal;Portugal;2004;https://www.robertparker.com//search/wines?vintage=2004&country[]=Portugal&dryness[]=Dry;2004 Portugal dry wines;93R;Outstanding;93;Ready to drink
New Zealand;New Zealand;1997;https://www.robertparker.com//search/wines?vintage=1997&country[]=New%20Zealand;1997 New Zealand;86I;Above-average;86;Irregular, even among the best wines
Italy;Italy - Tuscany: Chianti;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=Italy&region[]=Tuscany&location[]=Chianti%20Classico;1998 Italy:  Tuscany (Chianti Classico);88R;Above-average;88;Ready to drink
USA;USA - North Coast;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Cabernet%20Sauvignon;2008 Calif N Coast Cabernet Sauvignon;94T;Outstanding;94;Still tannic, youthful, or slow to mature
USA;USA - North Coast;1976;https://www.robertparker.com//search/wines?vintage=1976&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Chardonnay;1976 Calif N Coast Chardonnay;80C;Above-average;80;Caution, may be too old
New Zealand;New Zealand;1992;https://www.robertparker.com//search/wines?vintage=1992&country[]=New%20Zealand;1992 New Zealand;86I;Above-average;86;Irregular, even among the best wines
France;France - Burgundy: Beaujolais;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=France&region[]=Burgundy&region[]=Beaujolais;2014 Beaujolais;94E;Outstanding;94;Early maturing and accessible
Australia;Australia - New South Wales;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=Australia&region[]=New%20South%20Wales;2008 Australia New South Wales;79I;Average;79;Irregular, even among the best wines
France;France - Bordeaux: Barsac / Sauternes;1984;https://www.robertparker.com//search/wines?vintage=1984&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1984 Barsac / Sauternes;70C;Average;70;Caution, may be too old
USA;USA - North Coast;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;2011 Calif N Coast Pinot Noir;84I;Above-average;84;Irregular, even among the best wines
Portugal;Portugal;1983;https://www.robertparker.com//search/wines?vintage=1983&country[]=Portugal&type[]=Fortified;1983 Portugal Vintage Port;92R;Outstanding;92;Ready to drink
France;France - Bordeaux: Graves / Pessac Leognan;1988;https://www.robertparker.com//search/wines?vintage=1988&country[]=France&region[]=Bordeaux&location[]=Graves&location[]=Pessac-Leognan;1988 Graves;89R;Above-average;89;Ready to drink
France;France - Burgundy: Cote de Beaune;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Beaune&color_class[]=Red;2015 Cote de Beaune (red);94E;Outstanding;94;Early maturing and accessible
Italy;Italy - Tuscany: Bolgheri;2004;https://www.robertparker.com//search/wines?vintage=2004&country[]=Italy&region[]=Tuscany&location[]=Bolgheri&color_class[]=Red;2004 Italy:  Tuscany  (Bolgheri);95R;Outstanding;95;Ready to drink
France;France - Alsace;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=France&region[]=Alsace;1999 Alsace;87R;Above-average;87;Ready to drink
